iso3c,year,cc_est,ge_est,pv_est,rq_est,rl_est,va_est,state_capacity_wgi
CHL,2013,1.498928189,1.158031583,0.36374253,1.48287189,1.255137801,1.106286168,1.34874236575
CHL,2014,1.440734148,1.035074949,0.447516918,1.484589577,1.348703623,1.055897117,1.32727557425
CHL,2015,1.182457328,0.91883558,0.424871743,1.319842696,1.219729066,1.004566193,1.1602161675
CHL,2016,1.022761106,0.833843768,0.402406216,1.363908291,0.960393548,0.995819569,1.04522667825
CHL,2017,1.001655817,0.809455633,0.40628159,1.325499177,0.981475472,1.000581264,1.02952152475
CHL,2018,0.958202481,0.907178462,0.412769765,1.300452352,0.94026053,1.025940895,1.0265234562499999
CHL,2019,0.978930891,0.863498628,-0.016121579,1.158493161,0.924216628,0.981485605,0.981284827
CHL,2020,1.106137156,0.705044687,0.044044506,0.948647738,0.930162132,0.991940737,0.92249792825
CHL,2021,0.95626688,0.590294063,0.161427185,0.936240256,0.889890671,0.957422435,0.8431729674999999
CHL,2022,0.968124032,0.546218276,0.132084325,0.978411138,0.688454449,0.976769388,0.79530197375
CHL,2023,0.96860379,0.717555761,0.136159942,0.925731719,0.625093758,1.017949224,0.809246257
COL,2000,-0.406262517,-0.403075814,-1.608960748,0.091514856,-0.92503792,-0.438140959,-0.41071534875
COL,2002,-0.264330655,-0.487907588,-1.956714392,-0.023263086,-0.749073088,-0.416357487,-0.38114360425
COL,2003,-0.204286307,-0.221860737,-2.376026869,-0.126518682,-0.739117563,-0.429242462,-0.32294582225
COL,2004,-0.140631452,-0.215896517,-2.271226406,-0.086416334,-0.695200145,-0.318785131,-0.284536112
COL,2005,-0.145389393,-0.197672158,-2.057942867,-0.016363759,-0.633081853,-0.322521359,-0.24812679075
COL,2006,-0.175137788,-0.191516101,-1.90479672,0.106225543,-0.508387923,-0.172736719,-0.19220406725
COL,2007,-0.279160351,-0.05022138,-1.806527257,0.284262538,-0.432980388,-0.165321603,-0.11952489524999999
COL,2008,-0.261542618,-0.025623215,-1.853462338,0.272389978,-0.381235987,-0.165922627,-0.09900296050000001
COL,2009,-0.337012529,-0.300557911,-1.832345843,0.088281721,-0.367777586,-0.149577633,-0.22926657625
