iso3c,year,gdp_pc,log_gdp_pc
URY,2003,3671.123293,8.208252968604327
URY,2004,4168.660654,8.33535007711042
URY,2005,5284.25678,8.572487260222267
URY,2006,6001.332948,8.699736881536758
URY,2007,7222.054036,8.884894683947325
URY,2008,9423.965626,9.15101125838896
URY,2009,9881.395731,9.198409049084322
URY,2010,12641.05768,9.444705341415295
URY,2011,15132.26757,9.624584667991513
URY,2012,16259.59408,9.696438418460545
URY,2013,18335.25948,9.81658123257327
URY,2014,18322.42768,9.81588114473259
URY,2015,17125.90168,9.74834731459103
URY,2016,17009.75842,9.741542483055074
URY,2017,19184.65026,9.861865772647803
URY,2018,19249.94047,9.865263247243616
URY,2019,18315.7317,9.815515625274852
URY,2020,15757.5356,9.665073980626344
URY,2021,17881.81872,9.791539761675374
URY,2022,20818.61461,9.943602798648552
URY,2023,23019.42216,10.044093580310083
URY,2024,23906.5133,10.081906223804504
VEN,2000,4776.281676,8.471417630720275
VEN,2001,4920.393136,8.50114371198512
VEN,2002,3652.098965,8.203057340197637
VEN,2003,3229.505571,8.080084330505874
VEN,2004,4269.089709,8.359155900591984
VEN,2005,5432.485418,8.600152027911612
VEN,2006,6739.380653,8.815723308437803
VEN,2007,8331.62097,9.02781331046758
VEN,2008,11262.45143,9.329229589365674
VEN,2009,11596.60219,9.358467419531406
VEN,2010,13646.30466,9.521224043082473
VEN,2011,10843.92297,9.291360107125971
VEN,2012,12607.23612,9.442026223333265
VEN,2013,8656.356697,9.066049208301004
VEN,2014,7096.220471,8.86731759326437
VEN,2015,4103.138499,8.319507447417203
VEN,2016,3670.157378,8.207989822418025
VEN,2017,3791.331607,8.240472583861798
VEN,2018,3422.65467,8.138171748252502
VEN,2019,2523.112752,7.833248637297677
VEN,2020,1506.043621,7.317241372747804
VEN,2021,2004.933979,7.603366411018974
VEN,2022,3155.042071,8.0567571095932209
VEN,2023,3617.435946,8.193520751645348
VEN,2024,4217.591026,8.34701939711549
